game_id,goal_no,player_id,player_name,team_name,period,x_adjusted,y_adjusted
2023020129,1,8478421.0,A.J. Greer,Calgary Flames,2,78.0,5.0
2023020207,2,8478421.0,A.J. Greer,Calgary Flames,2,75.0,-6.0
2023020305,3,8478421.0,A.J. Greer,Calgary Flames,1,79.0,-1.0
2023020325,4,8478421.0,A.J. Greer,Calgary Flames,3,71.0,-2.0
2023020471,5,8478421.0,A.J. Greer,Calgary Flames,2,58.0,-26.0
2023020508,6,8478421.0,A.J. Greer,Calgary Flames,3,87.0,11.0
2023020530,1,8477932.0,Aaron Ekblad,Florida Panthers,1,36.0,-40.0
2023020704,2,8477932.0,Aaron Ekblad,Florida Panthers,2,68.0,-28.0
2023020501,1,8477454.0,Adam Erne,Edmonton Oilers,3,81.0,-4.0
2023020073,1,8484166.0,Adam Fantilli,Columbus Blue Jackets,3,63.0,-9.0
2023020084,2,8484166.0,Adam Fantilli,Columbus Blue Jackets,3,52.0,26.0
2023020210,3,8484166.0,Adam Fantilli,Columbus Blue Jackets,1,81.0,5.0
2023020225,4,8484166.0,Adam Fantilli,Columbus Blue Jackets,2,62.0,-17.0
2023020354,5,8484166.0,Adam Fantilli,Columbus Blue Jackets,2,57.0,12.0
2023020397,6,8484166.0,Adam Fantilli,Columbus Blue Jackets,2,79.0,-17.0
2023020397,7,8484166.0,Adam Fantilli,Columbus Blue Jackets,2,79.0,-17.0
2023020397,8,8484166.0,Adam Fantilli,Columbus Blue Jackets,2,79.0,-17.0
2023020397,9,8484166.0,Adam Fantilli,Columbus Blue Jackets,3,78.0,-0.0
2023020397,10,8484166.0,Adam Fantilli,Columbus Blue Jackets,3,78.0,-0.0
2023020397,11,8484166.0,Adam Fantilli,Columbus Blue Jackets,3,78.0,-0.0
2023020405,12,8484166.0,Adam Fantilli,Columbus Blue Jackets,1,68.0,17.0
2023020485,13,8484166.0,Adam Fantilli,Columbus Blue Jackets,1,89.0,-11.0
2023020053,1,8479323.0,Adam Fox,New York Rangers,2,85.0,13.0
2023020110,2,8479323.0,Adam Fox,New York Rangers,2,73.0,26.0
2023020124,3,8479323.0,Adam Fox,New York Rangers,3,84.0,6.0
2023020610,4,8479323.0,Adam Fox,New York Rangers,3,29.0,-12.0
2023020647,5,8479323.0,Adam Fox,New York Rangers,1,81.0,2.0
2023020653,6,8479323.0,Adam Fox,New York Rangers,1,83.0,18.0
2023020653,7,8479323.0,Adam Fox,New York Rangers,2,44.0,-36.0
2023020117,1,8474641.0,Adam Henrique,Anaheim Ducks,2,86.0,3.0
2023020175,2,8474641.0,Adam Henrique,Anaheim Ducks,3,72.0,1.0
2023020234,3,8474641.0,Adam Henrique,Anaheim Ducks,3,72.0,3.0
2023020366,4,8474641.0,Adam Henrique,Anaheim Ducks,1,84.0,-4.0
2023020425,5,8474641.0,Adam Henrique,Anaheim Ducks,3,58.0,13.0
2023020444,6,8474641.0,Adam Henrique,Anaheim Ducks,2,84.0,-2.0
2023020476,7,8474641.0,Adam Henrique,Anaheim Ducks,2,72.0,3.0
2023020476,8,8474641.0,Adam Henrique,Anaheim Ducks,2,82.0,-7.0
2023020476,9,8474641.0,Adam Henrique,Anaheim Ducks,3,29.0,-32.0
